movie_id,title,component_score
20856,Aliens in the Attic,42.67278808145776
667,You Only Live Twice,42.662854367994406
5393,Happily N'Ever After,42.65159829237995
34584,The NeverEnding Story,42.63737084681416
11411,Superman IV: The Quest for Peace,42.634319148844725
11507,Body Double,42.60774019754013
15394,Owning Mahowny,42.59828453434379
10200,The Day the Earth Stood Still,42.58467778515362
411,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",42.5740044283765
533,The Curse of the Were-Rabbit,42.571851282032846
11618,The Haunting,42.547816718372914
668,On Her Majesty's Secret Service,42.497427911151306
9992,Arthur and the Invisibles,42.49497545043626
186,Lucky Number Slevin,42.49285092194983
120,The Lord of the Rings: The Fellowship of the Ring,42.486275069834804
787,Mr. & Mrs. Smith,42.48383155140848
5137,Sky Captain and the World of Tomorrow,42.481304263142825
18885,3 Ninjas Kick Back,42.47686900569114
9833,The Phantom of the Opera,42.4704341820325
414,Batman Forever,42.404154543050886
11026,Exorcist: The Beginning,42.4030519834534
10783,Lucky Numbers,42.39099987064443
114150,Pitch Perfect,42.38300807170691
22,Pirates of the Caribbean: The Curse of the Black Pearl,42.36796452987549
9610,Conan the Destroyer,42.36397392413343
2502,The Bourne Supremacy,42.34662720874513
36586,Blade II,42.345682026287854
10416,What Planet Are You From?,42.314552557625895
4523,Enchanted,42.30628734766253
13836,Race to Witch Mountain,42.277536535322554
9424,Disturbing Behavior,42.26947694827307
49017,Dracula Untold,42.26135971419938
2008,The Promise,42.25696475501009
11412,The Long Kiss Goodnight,42.19961482330058
11688,The Emperor's New Groove,42.19577258920296
818,Austin Powers in Goldmember,42.19485515515564
72197,The Pirates! In an Adventure with Scientists!,42.19022806997962
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,42.17896102451971
8869,Eight Legged Freaks,42.162453585143176
14869,G.I. Joe: The Rise of Cobra,42.156682171524274
17711,The Adventures of Rocky & Bullwinkle,42.132113505736065
10425,The Death and Life of Bobby Z,42.113526659122954
9531,Superman III,42.10545854983934
10029,Very Bad Things,42.083182649368595
708,The Living Daylights,42.04458535940947
154,Star Trek II: The Wrath of Khan,42.04007013722706
9655,She's the Man,42.03642429573416
1996,Lara Croft Tomb Raider: The Cradle of Life,42.026266610292296
41513,The Smurfs,42.00441128005852
13184,Bangkok Dangerous,41.995999806508316
9716,Everyone Says I Love You,41.990163438977376
11596,New Nightmare,41.96225646320122
1255,The Host,41.939520192034394
2253,Valkyrie,41.93445973369852
762,Monty Python and the Holy Grail,41.92998357554283
801,"Good Morning, Vietnam",41.92159039237218
9548,The Adventures of Ford Fairlane,41.91705034854073
6479,I Am Legend,41.896536168139534
43539,The Next Three Days,41.88122601428107
707,A View to a Kill,41.87818157620007
955,Mission: Impossible II,41.86851059141249
928,Gremlins 2: The New Batch,41.858686283414585
9839,Beyond Borders,41.85536233515504
19901,Daybreakers,41.85053970444788
8836,The X Files: I Want to Believe,41.840736944609105
1585,It's a Wonderful Life,41.84038289174368
8053,The Three Burials of Melquiades Estrada,41.82018823591938
11253,Hellboy II: The Golden Army,41.81531407003802
2454,The Chronicles of Narnia: Prince Caspian,41.81353216305252
1262,Stranger Than Fiction,41.794730749292796
617,Wild Things,41.781690859053526
26389,From Paris with Love,41.76970352589074
38073,Going the Distance,41.76764477023043
46529,I Am Number Four,41.76439397639044
11342,Warlock,41.7565856590029
33468,The Brain That Wouldn't Die,41.748454917088004
29996,Solomon and Sheba,41.73895045633709
1088,Whale Rider,41.714274085584925
1579,Apocalypto,41.71215813362316
44826,Hugo,41.70653933258484
8676,Fool's Gold,41.701909386625644
387,Das Boot,41.696714083602124
14736,Love & Basketball,41.69652771741547
76349,1911,41.68830597965812
40805,The Green Hornet,41.6824006246339
11386,The Crying Game,41.67343767616763
14462,The Manchurian Candidate,41.670039463287736
816,Austin Powers: International Man of Mystery,41.66808822069997
652,Troy,41.66323848679755
11935,Capricorn One,41.65682992045861
11560,High Crimes,41.651334915231736
