movie_id,title,component_score
808,Shrek,46.88540301050632
49538,X-Men: First Class,46.8753400826567
103,Taxi Driver,46.87424087995607
89,Indiana Jones and the Last Crusade,46.72566141937607
1417,Pan's Labyrinth,46.70820972963402
6479,I Am Legend,46.70557462845718
23483,Kick-Ass,46.66221495185338
76338,Thor: The Dark World,46.645803197148204
5915,Into the Wild,46.63960734041736
489,Good Will Hunting,46.631189811872396
812,Aladdin,46.5758990390052
69848,One Man's Hero,46.52516127587007
115,The Big Lebowski,46.50758366235823
157350,Divergent,46.50692463287612
607,Men in Black,46.50312305947066
863,Toy Story 2,46.48339279944715
62177,Brave,46.48220405552256
11036,The Notebook,46.44946433351474
162,Edward Scissorhands,46.44088945010662
453,A Beautiful Mind,46.417487017494246
165,Back to the Future Part II,46.34305769288669
82693,Silver Linings Playbook,46.29742567502698
2501,The Bourne Identity,46.29161829834758
6977,No Country for Old Men,46.27641058338131
64690,Drive,46.25208244803199
627,Trainspotting,46.242654120239685
425,Ice Age,46.18824022698033
64682,The Great Gatsby,46.1199154738401
107,Snatch,46.076761476367786
84892,The Perks of Being a Wallflower,45.967044123882566
1865,Pirates of the Caribbean: On Stranger Tides,45.88718525990454
1402,The Pursuit of Happyness,45.8489266959022
8358,Cast Away,45.83895847479771
314365,Spotlight,45.807534965665674
161,Ocean's Eleven,45.64436409923927
28,Apocalypse Now,45.624476504473854
137106,The Lego Movie,45.55739953450978
670,Oldboy,45.53960900961808
12405,Slumdog Millionaire,45.52069443028615
1895,Star Wars: Episode III - Revenge of the Sith,45.486580862120455
246655,X-Men: Apocalypse,45.480113122312424
598,City of God,45.470437148534764
70,Million Dollar Baby,45.43003458769695
38757,Tangled,45.37638987548264
58574,Sherlock Holmes: A Game of Shadows,45.33892411183761
17654,District 9,45.32000424868614
68726,Pacific Rim,45.24921641341682
45269,The King's Speech,45.2381804454007
423,The Pianist,45.22183661056932
122906,About Time,45.21814445238725
177677,Mission: Impossible - Rogue Nation,45.149072066459354
641,Requiem for a Dream,45.09375750206818
4922,The Curious Case of Benjamin Button,45.05816980456207
19908,Zombieland,45.05318824978759
601,E.T. the Extra-Terrestrial,44.91289318543591
138843,The Conjuring,44.886737382671775
296096,Me Before You,44.803327759311074
62211,Monsters University,44.73353005953011
131634,The Hunger Games: Mockingjay - Part 2,44.59852626303615
109424,Captain Phillips,44.55916020123818
37799,The Social Network,44.479920331439885
311,Once Upon a Time in America,44.45896482585528
56292,Mission: Impossible - Ghost Protocol,44.44145026017348
68734,Argo,44.383720703455
59967,Looper,44.305865885339536
96721,Rush,44.2211498643026
762,Monty Python and the Holy Grail,44.20577432676022
578,Jaws,44.19095305800587
70981,Prometheus,44.15559377712098
50014,The Help,44.13040375787832
935,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,44.105013424473995
335,Once Upon a Time in the West,44.08759891252358
75612,Oblivion,44.01755981789978
2048,"I, Robot",43.965308116321616
12155,Alice in Wonderland,43.92685368520322
10674,Mulan,43.92063636263593
747,Shaun of the Dead,43.901340583389825
2503,The Bourne Ultimatum,43.83677730591846
346,Seven Samurai,43.823480124922796
