rank,movie_id,title,content_score,content_normalized,rating_score,rating_normalized,business_score,business_normalized,time_score,time_normalized,final_score
2158,43266,How Green Was My Valley,29.703618027980284,0.5132748498922637,34.33295555508016,0.42517794964403266,55.18,0.5803533866217921,48.67,0.9639532580709052,57.23
2159,73567,Killer Joe,36.88491262012197,0.6519821898400576,33.802572519953785,0.4186097073312136,29.51,0.31037021455616326,48.71,0.9647454941572589,57.22
2160,223,Rebecca,30.424794662686583,0.5272044403510754,39.65388923702415,0.4910721797359149,47.39,0.49842238115271353,46.67,0.9243414537532184,57.2
2161,81796,Lockout,35.15178286793704,0.6185066354500437,31.36454768450816,0.388417305192895,40.97,0.4309002944888515,47.56,0.941968706674589,57.2
2162,2453,Harley Davidson and the Marlboro Man,35.99150568106096,0.6347259558256977,30.97284631463549,0.3835664910808376,37.83,0.3978754732856542,48.0,0.9506833036244801,57.2
2163,17707,Brokedown Palace,34.93789810664202,0.6143754323760094,31.408812078598224,0.3889654736804945,40.44,0.4253260412284392,48.33,0.9572192513368983,57.16
2164,16363,The Best Little Whorehouse in Texas,32.24454796611472,0.5623531362917679,29.685135173273824,0.3676195277633461,51.43,0.5409129154396298,49.33,0.9770251534957417,57.16
2165,219,Volver,39.841903282561496,0.7090967259135776,37.83676817213607,0.4685690250807726,55.51,0.5838241480858225,18.17,0.35987324222618344,57.15
2166,12281,Mean Creek,36.3843072347344,0.6423129525626126,34.92583443050369,0.4325201379457484,32.19,0.33855700462768196,46.67,0.9243414537532184,57.14
2167,44945,Trust,39.063863430041344,0.6940688173753959,34.15467257941653,0.4229701003976288,20.09,0.2112957509465713,49.03,0.9710833828480887,57.13
2168,22074,Capitalism: A Love Story,32.384228813759364,0.565051084213253,35.60417369305143,0.44092066426660037,43.44,0.45687841817416913,48.35,0.9576153693800753,57.13
2169,2123,"Me, Myself & Irene",29.58891889184057,0.5110594259371374,33.41312647439986,0.41378682306539655,55.99,0.5888725283971393,49.0,0.9704892057833234,57.12
2170,9766,Gridiron Gang,32.48917695508576,0.5670781668414715,33.1613252032184,0.410668526185102,47.81,0.5028397139251157,47.5,0.9407803525450584,57.12
2171,313922,Green Room,35.753336256064976,0.6301256923252644,35.67524752101452,0.4418008397119744,31.51,0.3314051325199832,47.92,0.9490988314517727,57.11
2172,241257,Regression,31.062592309448096,0.5395235582861702,28.39783737767297,0.3516776833032392,56.89,0.5983382414808582,49.66,0.9835611012081599,57.09
2173,72358,A Thousand Words,33.150651286103844,0.5798546020262453,31.11336663940305,0.38530668916754574,49.09,0.5163020614219604,46.89,0.928698752228164,57.08
2174,9266,Blue Crush,32.747601944230034,0.57206966835423,28.60792931110095,0.3542794534115059,51.25,0.539019772822886,49.0,0.9704892057833234,57.08
2175,10890,Stripes,26.812576969877693,0.4574341362571373,33.29199752196813,0.41228676695881317,65.66,0.6905763567522086,49.33,0.9770251534957417,57.07
2176,2294,Jay and Silent Bob Strike Back,33.62914435753231,0.5890967380046134,33.54656052509849,0.41543926501720363,40.71,0.42816575515355493,49.0,0.9704892057833234,57.07
2177,10053,When a Stranger Calls,34.23537543049979,0.6008061447760654,27.691730221533835,0.3429332804977605,51.08,0.5372318047959613,46.17,0.9144385026737968,57.07
2178,33542,Rumble in the Bronx,41.60224464806087,0.7430978750205474,33.419156572688145,0.413861499561635,57.02,0.5997055111485066,16.83,0.33333333333333326,57.06
2179,171274,Inherent Vice,34.913510449985594,0.6139043826315701,35.36203247599195,0.43792199711053537,40.45,0.4254312158182583,43.89,0.869281045751634,57.05
2180,5902,A Bridge Too Far,35.572557428526686,0.6266339332886477,35.41427062372494,0.4385689122446164,44.59,0.46897349600336563,39.17,0.7757971875618934,57.05
2181,8968,Boogeyman,36.421207748717656,0.6430256892525855,23.68218695435714,0.29327925689899775,48.38,0.5088346655448044,46.5,0.9209744503862151,57.04
2182,9489,You've Got Mail,28.513393605451803,0.490285559943,33.98001359186839,0.42080713047523216,59.42,0.6249474127050905,48.5,0.9605862547039017,57.04
2183,768,From Hell,30.194807828621524,0.5227622243178984,35.213459620679686,0.43608207680734196,52.08,0.5477492637778713,48.0,0.9506833036244801,57.03
2184,21301,Barbershop 2:  Back in Business,31.241844809498776,0.5429858361724206,28.309945313628944,0.35058923149429805,56.51,0.5943416070677324,49.33,0.9770251534957417,57.03
2185,102362,Dead Man Down,30.02948939037925,0.5195690840673923,31.56901265554985,0.3909493912238242,56.97,0.599179638199411,48.76,0.965735789265201,57.03
2186,57612,Dolphins and Whales: Tribes of the Ocean,36.02706409755817,0.6354127697840724,40.00749589341982,0.49545123043854356,36.73,0.3863062684055532,38.67,0.7658942364824718,57.02
2187,9882,The Siege,31.706492053350168,0.5519605387670232,31.226781910416985,0.386711219351691,50.93,0.5356541859486748,49.0,0.9704892057833234,57.02
2188,17820,Show Boat,28.72680700377646,0.49440765859958835,34.57595838841719,0.42818728702164854,56.18,0.5908708456037022,49.5,0.9803921568627451,57.0
2189,6687,Transsiberian,36.10106432643526,0.6368420907472175,33.186451304797515,0.41097968682301506,30.58,0.3216238956668069,49.84,0.9871261635967519,56.99
2190,37964,Brown Sugar,30.84166771945112,0.5352563802983642,35.14759986544892,0.4352664722303298,47.01,0.4944257467395877,49.83,0.9869281045751633,56.98
2191,9315,Flightplan,31.02050459828863,0.5387106304241369,32.91623686340256,0.40763336197858974,52.22,0.5492217080353387,48.0,0.9506833036244801,56.98
2192,11323,The Informant!,32.09114185083347,0.5593900836124263,31.06259104703921,0.38467788626071225,48.64,0.5115692048801009,49.68,0.9839572192513368,56.98
2193,242512,Ouija,27.07720978237429,0.46254554242678164,27.930524590077816,0.3458905004155502,75.87,0.7979596129575095,46.7,0.9249356308179838,56.98
2194,9899,The Producers,32.59338747774991,0.5690910023000155,30.984822581398536,0.3837148046898578,52.1,0.5479596129575095,46.0,0.9110714993067934,56.98
2195,63020,The Perez Family,36.96059078168987,0.6534439202214724,33.04676225062618,0.4092497831581529,28.07,0.2952250736222129,49.5,0.9803921568627451,56.98
2196,18501,Gamer,34.34173477425717,0.6028604849040031,30.28909306083967,0.3750989181087133,44.53,0.468342448464451,47.52,0.9411764705882353,56.98
2197,8831,Timecop,31.265189716647164,0.5434367451179225,28.419167054864197,0.3519418291732382,57.65,0.6063315103071097,48.17,0.9540503069914834,56.97
2198,12142,Alone in the Dark,41.17156165296253,0.7347791948934002,16.089669761044043,0.19925382737514005,40.09,0.42164493058477076,47.67,0.9441473559120618,56.97
2199,13389,Righteous Kill,34.882315871316266,0.6133018565866492,30.73790221609833,0.3806569527529551,40.43,0.42522086663862013,48.51,0.9607843137254901,56.96
2200,41233,Step Up 3D,29.07450353948809,0.5011234479268216,34.842061033587285,0.43148269154593316,54.28,0.5708876735380732,49.52,0.980788274905922,56.96
2201,13938,The Last Dragon,32.72812393620971,0.5716934489072605,32.263106525877014,0.3995450219778601,44.37,0.46665965502734535,49.67,0.9837591602297484,56.95
